Activo,Nombre,Capital inicial (€),Valor actual (€),Valor regalo (€),Valor actual mejorado (€),Drawdown máx.,Retorno anualizado,Volatilidad anualizada,Retorno total,Retorno total (€),Retorno total mejorado,Retorno mejorado (€)
CASH,Cash,330000.0,330000.0,0.0,330000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0P00000LRT.F,Groupama Trésorerie,82004.96109,82581.7964765625,0.0,82581.7964765625,-0.01610434003251846,0.005234005749763293,0.001581837225801666,0.007034152310973152,576.8353865624958,0.007034152310973152,576.8353865624958
0P0001FAME.F,Neuberger Short Duration Euro Bond,46208.90048,46264.50425745392,0.0,46264.50425745392,-0.0011093513107272629,0.011960200378215546,0.005881707283295993,0.0012033131469550984,55.60377745392179,0.0012033131469550984,55.60377745392179
EUN1.DE,ETF ISHARES STOXX EUROPE 50,25079.6,24957.399444580078,0.0,24957.399444580078,-0.016713066421671603,0.22331713234824813,0.10680454717053157,-0.004872508150844501,-122.20055541992042,-0.004872508150844501,-122.20055541992042
FOO.F,Salesforce (FOO),6886.0,5586.0,49.7,5635.7,-0.47159844388890737,-0.014868650387093063,0.37222115781176196,-0.18878884693581177,-1300.0,-0.18157130409526578,-1250.3000000000002
ZEG.DE,AstraZeneca (ZEG),15206.400000000001,15460.199340820312,309.76,15769.959340820313,-0.2364195667960998,0.04509465428851023,0.30778172169821666,0.016690297560258305,253.79934082031104,0.03706066793062868,563.5593408203113
ASML.AS,ASML Holding (ASML),19802.8,26083.400756835938,42.2,26125.60075683594,-0.0857083104189587,1.3715653791336737,0.32997351566479627,0.31715720791180724,6280.600756835938,0.31928821968791987,6322.800756835939
INRG.MI,INRG,14430.0,10086.699771881104,4274.0,14360.699771881104,-0.5752955562430375,-0.03346745195005263,0.24254000045185312,-0.3009910067996463,-4343.3002281188965,-0.004802510611150113,-69.30022811889648
5DQ2.DU,DAQO Energy,11485.5,4719.000148773193,0.0,4719.000148773193,-0.8517006854621731,-0.1525449370073676,0.7458585878771574,-0.5891341126835408,-6766.499851226807,-0.5891341126835408,-6766.499851226807
ACN,ACN Programa Mensual 5k/mes +Gift 50% Stock,40000.0,32271.444001130716,16422.193722149015,48693.63772327973,-0.4102144426810575,-0.22198896785898203,0.27563719312094337,-0.1932138999717321,-7728.555998869284,0.21734094308199325,8693.637723279731
TOTAL,Cartera Total,591104.16157,578010.4441980378,21097.853722149015,599108.2979201869,,,,-0.022151286056225065,-13093.71737196215,0.01354099136931727,8004.136350186891
