Date,valor_propio,valor_regalo,valor_mejorado,peak,drawdown
2015-06-02,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-03,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-04,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-05,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-08,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-09,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-10,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-11,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-12,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-15,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-16,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-17,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-18,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-19,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-22,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-23,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-24,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-25,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-26,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-29,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-06-30,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-01,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-02,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-03,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-06,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-07,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-08,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-09,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-10,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-13,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-14,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-15,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-16,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
2015-07-17,412004.96109,21097.85372214901,433102.81481214904,433102.81481214904,0.0
